SMILES T P density einter compress
C[C@H]1CCC[C@H](C1)O 441 50 7.881e-01 -4.203e+01 1.867e-04
C[C@H]1CCC[C@H](C1)O 411 1000 8.849e-01 -4.958e+01 6.429e-05
C[C@H]1CCC[C@@H](C1)O 414 1 8.111e-01 -4.427e+01 1.794e-04
C[C@H]1CCC[C@@H](C1)O 502 100 7.350e-01 -3.608e+01 2.619e-04
C[C@H]1CCC[C@@H](C1)O 414 250 8.356e-01 -4.571e+01 1.147e-04
C[C@H]1CCC[C@@H](C1)O 443 500 8.348e-01 -4.452e+01 1.052e-04
CC1CCC(CC1)O 349 1 8.725e-01 -5.183e+01 9.256e-05
CC1CCC(CC1)O 438 500 8.374e-01 -4.480e+01 1.021e-04
CC1CCCCC1O 357 100 8.636e-01 -4.646e+01 9.558e-05
CC1CCCCC1O 387 250 8.488e-01 -4.407e+01 1.091e-04
CC1CCCCC1O 478 250 7.718e-01 -3.679e+01 2.075e-04
OC1CCCCCC1 468 750 8.563e-01 -4.384e+01 8.200e-05
OC1CCCCCC1 500 750 8.346e-01 -4.163e+01 1.002e-04
OC1CCCCCC1 370 1000 9.387e-01 -5.289e+01 5.259e-05
OC1CCCCCC1 435 1000 8.935e-01 -4.716e+01 6.868e-05
OC1CCCCCC1 468 1000 8.732e-01 -4.488e+01 8.185e-05
OCC1CCCCC1 255 1 9.618e-01 -6.524e+01 3.422e-05
OCC1CCCCC1 255 100 9.632e-01 -6.527e+01 3.139e-05
OCC1CCCCC1 373 100 8.722e-01 -5.222e+01 9.076e-05
CC1CCCC(C1)O 224 50 9.610e-01 -6.426e+01 2.737e-05
CC1CCCC(C1)O 508 50 7.190e-01 -3.617e+01 3.535e-04
CC1CCCC(C1)O 265 250 9.544e-01 -6.391e+01 3.491e-05
CC1CCCC(C1)O 467 250 7.893e-01 -4.156e+01 1.814e-04
CC1CCCC(C1)O 467 500 8.144e-01 -4.308e+01 1.189e-04
CC1CCCC(C1)O 386 1000 9.025e-01 -5.200e+01 5.718e-05
CCCCCCCO 471 1000 7.686e-01 -4.883e+01 9.028e-05
CCCCCC(O)C 424 50 7.078e-01 -4.316e+01 2.080e-04
CCCCCC(O)C 455 500 7.325e-01 -4.370e+01 1.246e-04
CCCCCC(O)C 330 750 8.379e-01 -5.997e+01 5.156e-05
CCCCCC(O)C 393 750 7.930e-01 -5.151e+01 8.775e-05
CCCCC(CC)O 331 50 7.909e-01 -5.403e+01 1.110e-04
CCCCC(CC)O 366 50 7.574e-01 -4.871e+01 1.469e-04
CCCCC(CC)O 400 50 7.232e-01 -4.399e+01 2.105e-04
CCCCC(CC)O 297 100 8.250e-01 -6.024e+01 8.901e-05
CCCCC(CC)O 366 100 7.613e-01 -4.913e+01 1.204e-04
CCCCC(CC)O 435 500 7.418e-01 -4.403e+01 1.131e-04
CCCCC(CC)O 366 750 8.072e-01 -5.242e+01 6.317e-05
CCCC(CCC)O 286 1 8.296e-01 -6.143e+01 7.102e-05
CCCC(CCC)O 316 50 8.050e-01 -5.726e+01 8.541e-05
CCCC(CCC)O 436 100 6.949e-01 -4.040e+01 2.805e-04
CCCC(CCC)O 286 500 8.530e-01 -6.293e+01 5.377e-05
CCCC(CCC)O 286 1000 8.758e-01 -6.398e+01 3.471e-05
CCCC(CCC)O 466 1000 7.576e-01 -4.387e+01 9.924e-05
CCCCC(CO)C 268 50 8.519e-01 -6.522e+01 5.085e-05
CCCCC(CO)C 387 1000 8.130e-01 -5.350e+01 5.910e-05
CCCC(CCO)C 299 50 8.282e-01 -6.189e+01 6.901e-05
CCCC(CCO)C 330 500 8.302e-01 -6.003e+01 7.014e-05
CCCC(CCO)C 393 750 8.017e-01 -5.350e+01 7.087e-05
OCCCC(CC)C 393 100 7.543e-01 -4.989e+01 1.409e-04
OCCCC(CC)C 486 250 6.967e-01 -4.145e+01 1.980e-04
OCCCC(CC)C 268 750 8.814e-01 -6.769e+01 3.837e-05
OCCCC(CC)C 393 750 8.002e-01 -5.332e+01 7.738e-05
OCCCCC(C)C 268 100 8.510e-01 -6.623e+01 5.564e-05
OCCCCC(C)C 330 100 8.059e-01 -5.894e+01 8.317e-05
OCCCCC(C)C 330 250 8.152e-01 -5.954e+01 7.929e-05
OCCCCC(C)C 330 500 8.279e-01 -6.040e+01 6.912e-05
OCCCCC(C)C 484 500 7.226e-01 -4.390e+01 1.536e-04
CCCCC(O)(C)C 459 50 6.598e-01 -3.493e+01 4.101e-04
CCCCC(O)(C)C 268 100 8.536e-01 -6.056e+01 5.330e-05
CCCCC(O)(C)C 459 250 6.968e-01 -3.745e+01 2.519e-04
CCCCC(O)(C)C 268 750 8.768e-01 -6.032e+01 3.631e-05
CCCCC(O)(C)C 432 750 7.638e-01 -4.292e+01 1.019e-04
CCCC(C(O)C)C 466 1 6.444e-01 -3.450e+01 5.196e-04
CCCC(C(O)C)C 268 50 8.479e-01 -6.120e+01 5.865e-05
CCCC(C(O)C)C 409 100 7.211e-01 -4.154e+01 1.953e-04
CCCC(C(O)C)C 438 100 6.944e-01 -3.860e+01 2.483e-04
CCCC(C(O)C)C 466 100 6.679e-01 -3.599e+01 2.942e-04
CCCC(C(O)C)C 466 250 6.920e-01 -3.767e+01 2.474e-04
CCCC(C(O)C)C 381 1000 8.113e-01 -4.953e+01 6.412e-05
CCC(CC(O)C)C 324 1 7.979e-01 -5.464e+01 9.417e-05
CCC(CC(O)C)C 268 50 8.502e-01 -6.219e+01 5.761e-05
CCC(CC(O)C)C 409 50 7.199e-01 -4.267e+01 2.309e-04
CCC(CC(O)C)C 437 50 6.915e-01 -3.949e+01 2.983e-04
CCC(CC(O)C)C 409 250 7.440e-01 -4.475e+01 1.524e-04
CCC(CC(O)C)C 296 1000 8.696e-01 -6.189e+01 3.480e-05
CCC(CC(O)C)C 352 1000 8.348e-01 -5.526e+01 5.524e-05
CC(CCC(O)C)C 437 1 6.828e-01 -3.997e+01 3.819e-04
CC(CCC(O)C)C 381 50 7.475e-01 -4.790e+01 1.812e-04
CC(CCC(O)C)C 465 50 6.640e-01 -3.767e+01 3.093e-04
CC(CCC(O)C)C 352 100 7.782e-01 -5.213e+01 1.071e-04
CCCC(C(C)C)O 349 50 7.675e-01 -4.751e+01 1.245e-04
CCCC(C(C)C)O 349 250 7.835e-01 -4.873e+01 9.825e-05
CCCC(C(C)C)O 431 250 7.141e-01 -3.969e+01 1.984e-04
CCCC(C(C)C)O 458 250 6.906e-01 -3.730e+01 2.384e-04
CCCC(C(C)C)O 322 1000 8.485e-01 -5.678e+01 5.058e-05
CCCC(C(C)C)O 349 1000 8.277e-01 -5.241e+01 5.609e-05
CCCC(C(C)C)O 431 1000 7.751e-01 -4.406e+01 8.879e-05
CCCC(CC)(O)C 377 50 7.424e-01 -4.168e+01 1.755e-04
CCCC(CC)(O)C 323 100 8.006e-01 -4.958e+01 1.080e-04
CCCC(CC)(O)C 432 250 7.155e-01 -3.788e+01 2.177e-04
CCCC(CC)(O)C 432 750 7.617e-01 -4.110e+01 1.055e-04
CCC(C(CC)C)O 268 250 8.544e-01 -6.077e+01 5.072e-05
CCC(C(CC)C)O 379 250 7.595e-01 -4.471e+01 1.301e-04
CCC(C(CC)C)O 435 250 7.138e-01 -3.916e+01 1.836e-04
CCC(CC(C)C)O 462 1 6.441e-01 -3.481e+01 5.653e-04
CCC(CC(C)C)O 379 250 7.631e-01 -4.693e+01 1.398e-04
CCC(CC(C)C)O 323 500 8.260e-01 -5.639e+01 7.357e-05
CCC(CC(C)C)O 462 500 7.206e-01 -4.008e+01 1.594e-04
CCC(CC(C)C)O 407 1000 7.922e-01 -4.758e+01 7.774e-05
CCCC(CO)CC 478 50 6.588e-01 -3.717e+01 3.967e-04
CCCC(CO)CC 328 100 8.042e-01 -5.578e+01 9.590e-05
OCCC(CC)CC 448 1 6.950e-01 -4.198e+01 2.759e-04
OCCC(CC)CC 418 50 7.297e-01 -4.576e+01 1.988e-04
OCCC(CC)CC 268 500 8.729e-01 -6.633e+01 4.891e-05
CCCC(CO)(C)C 355 100 7.785e-01 -4.832e+01 1.140e-04
CCCC(CO)(C)C 470 100 6.695e-01 -3.568e+01 3.705e-04
CCCC(CO)(C)C 268 500 8.665e-01 -6.132e+01 4.389e-05
CCCC(CO)(C)C 268 750 8.761e-01 -6.127e+01 3.337e-05
CCCC(CO)(C)C 441 1000 7.803e-01 -4.436e+01 8.714e-05
CCC(C(CO)C)C 358 1 7.734e-01 -5.078e+01 1.312e-04
CCC(C(CO)C)C 479 50 6.668e-01 -3.706e+01 3.401e-04
CCC(C(CO)C)C 328 500 8.304e-01 -5.700e+01 6.393e-05
CCC(C(CO)C)C 358 750 8.231e-01 -5.436e+01 7.636e-05
OCC(CC(C)C)C 297 1 8.209e-01 -5.950e+01 6.682e-05
OCC(CC(C)C)C 415 1 7.119e-01 -4.300e+01 2.385e-04
OCC(CC(C)C)C 445 250 7.186e-01 -4.233e+01 1.658e-04
OCC(CC(C)C)C 386 750 7.981e-01 -5.081e+01 9.001e-05
OCC(CC(C)C)C 445 750 7.608e-01 -4.521e+01 1.107e-04
OCC(CC(C)C)C 356 1000 8.312e-01 -5.570e+01 5.717e-05
OCCC(CC)(C)C 268 1 8.517e-01 -6.243e+01 5.982e-05
OCCC(CC)(C)C 329 100 8.113e-01 -5.594e+01 8.763e-05
OCCC(CC)(C)C 452 1000 7.864e-01 -4.675e+01 7.893e-05
OCCCC(C)(C)C 268 1 8.481e-01 -6.352e+01 6.347e-05
OCCCC(C)(C)C 418 750 7.868e-01 -4.936e+01 8.583e-05
CCC(C(O)C)CC 296 750 8.604e-01 -5.851e+01 4.514e-05
CC(CC(O)(C)C)C 320 1 7.927e-01 -4.816e+01 1.245e-04
CC(CC(O)(C)C)C 399 50 7.207e-01 -3.871e+01 2.271e-04
CC(CC(O)(C)C)C 425 500 7.492e-01 -4.003e+01 1.421e-04
CC(CC(O)(C)C)C 268 750 8.782e-01 -5.854e+01 4.087e-05
CC(CC(O)(C)C)C 346 1000 8.345e-01 -4.972e+01 5.380e-05
CCC(C(O)C)(C)C 325 1 7.921e-01 -4.704e+01 1.294e-04
CCC(C(O)C)(C)C 296 1000 8.702e-01 -5.548e+01 4.045e-05
CCC(C(O)C)(C)C 381 1000 8.146e-01 -4.556e+01 6.052e-05
CC(CC(C)(C)C)O 456 1 6.577e-01 -3.394e+01 4.218e-04
CC(CC(C)(C)C)O 456 250 7.010e-01 -3.668e+01 2.170e-04
